"Exp2-Old-Bst2-neg_1" "Exp2-Old-Bst2-neg_2" "Exp2-Old-Bst2-neg_3" "Exp2-Old-Bst2-neg_4" "Exp2-Old-Bst2-pos_1" "Exp2-Old-Bst2-pos_2" "Exp2-Old-Bst2-pos_3" "Exp2-Old-Bst2-pos_4"
"1810007C17Rik" 0 35 0 0 0 0 46 0
"1810007D17Rik" 0 0 0 0 0 0 0 1
"1810008I18Rik" 0 0 0 0 0 0 0 0
"1810009A15Rik" 41 18 35 72 64 23 81 47
"1810009J06Rik" 0 0 0 0 0 0 0 0
"1810010D01Rik" 1 0 0 0 0 0 13 0
"1810010H24Rik" 96 21 1 140 106 19 125 117
"1810011H11Rik" 0 0 1 0 0 1 0 0
"1810011O10Rik" 75 34 68 0 0 0 0 436
"1810012K16Rik" 0 0 0 0 20 0 0 0
"1810013A23Rik" 0 0 0 0 0 0 0 0
"1810013L24Rik" 286 586 386 403 284 371 263 344
"1810014B01Rik" 211 247 393 709 618 188 567 532
"1810018F18Rik" 0 0 0 0 0 0 0 0
"1810019D21Rik" 0 0 0 0 0 0 0 0
"1810020O05Rik" 0 1 23 0 0 0 0 0
"1810021B22Rik" 28 1 29 0 83 37 216 62
"1810022K09Rik" 2847 1660 2041 2065 2261 992 2405 2836
"1810024B03Rik" 47 49 40 36 63 15 80 49
"1810026B05Rik" 2845 1559 2717 2276 1351 712 998 1442
"1810026J23Rik" 316 304 498 84 227 220 390 224
"1810030O07Rik" 612 667 559 904 322 379 802 283
"1810032O08Rik" 263 253 264 248 225 160 253 263
"1810034E14Rik" 0 1 1 2 0 0 0 0
"1810037I17Rik" 3515 2406 2781 2875 3562 2224 5914 4929
"1810041H14Rik" 0 0 15 15 8 0 1 19
"1810041L15Rik" 59 37 156 0 0 0 51 0
"1810043G02Rik" 420 253 403 218 403 78 718 413
"1810043H04Rik" 831 688 779 685 715 586 1032 992
"1810044D09Rik" 113 25 45 104 94 42 113 63
"1810046K07Rik" 0 0 0 0 0 0 0 0
